node_a_id,node_b_id,weight
178,211,89
205,228,52
172,190,82
191,223,40
155,171,84
146,169,80
201,208,63
134,194,107
190,194,20
145,176,93
137,212,29
183,186,90
139,214,70
163,220,55
167,215,57
168,209,31
172,209,63
138,179,89
186,224,17
186,211,65
158,211,67
160,214,83
162,176,125
175,184,40
157,169,46
161,189,65
157,190,122
185,199,108
137,179,67
212,230,59
186,197,66
209,214,118
178,208,106
150,203,117
216,226,8
175,220,29
201,227,40
146,216,33
162,172,68
172,179,52
168,185,97
149,209,121
167,217,28
137,219,97
176,220,34
152,218,27
202,224,38
163,173,48
216,219,50
175,181,92
172,208,5
148,212,43
193,199,113
169,189,96
158,203,87
150,191,48
134,217,14
202,216,55
134,146,83
155,208,29
185,221,87
158,213,128
151,174,31
189,193,80
138,192,94
132,196,68
179,229,58
136,156,65
150,194,53
143,213,68
192,202,47
147,216,27
137,161,46
132,159,114
200,229,62
180,210,98
138,225,117
199,220,77
212,216,36
170,227,83
185,201,32
187,190,76
188,207,52
205,221,74
136,151,27
137,203,30
134,144,1
185,202,23
136,198,93
155,181,91
142,212,64
146,223,51
168,198,126
181,205,57
159,161,30
131,171,118
197,223,30
131,182,137
153,171,65
151,176,34
157,166,76
131,214,57
160,229,50
172,187,14
131,195,42
168,216,45
163,199,99
145,182,106
168,171,94
161,179,73
147,189,79
163,229,102
155,205,125
137,175,50
179,202,49
178,184,79
172,218,25
159,216,40
166,198,80
139,192,38
182,205,85
205,226,82
211,222,65
146,182,71
175,205,90
163,165,23
142,203,121
199,203,93
133,170,33
178,221,96
204,211,51
134,189,23
155,175,16
196,200,62
158,206,65
162,215,18
144,164,8
146,159,80
143,183,43
157,175,41
158,212,68
145,222,79
211,217,28
213,225,48
152,205,105
189,223,95
184,191,54
156,224,24
181,221,47
186,199,113
196,199,154
177,210,49
160,192,73
209,225,116
157,206,76
158,190,88
223,227,113
149,177,47
138,157,43
149,169,96
179,190,39
153,172,47
144,223,90
157,229,128
149,162,143
160,195,71
141,209,92
215,220,82
154,213,102
203,205,117
141,196,77
165,230,14
163,211,42
179,221,29
154,216,11
145,172,40
198,219,94
171,180,66
162,196,92
135,153,17
154,220,46
132,146,35
217,222,86
143,188,66
145,211,9
135,200,73
144,226,67
131,164,11
169,175,40
131,144,19
139,165,62
171,227,92
169,211,92
138,168,7
188,229,102
154,168,51
142,213,14
148,188,37
156,209,139
168,180,90
132,150,49
152,200,112
150,156,95
172,186,76
162,169,88
133,142,96
163,221,82
140,201,22
162,220,89
133,156,63
134,148,81
156,226,79
158,202,99
176,226,39
172,220,31
131,203,31
140,147,66
184,212,23
134,156,106
145,220,63
147,202,72
189,191,67
143,160,54
165,215,70
136,176,33
162,173,67
179,189,82
148,155,48
191,218,53
158,172,39
143,222,36
182,213,118
158,189,80
158,167,67
160,187,28
138,169,13
174,186,81
162,223,98
163,188,74
184,201,34
157,205,120
202,221,91
161,180,86
145,168,86
186,208,86
174,214,99
149,204,82
204,210,88
155,222,106
166,178,102
138,228,104
140,213,55
169,209,17
142,229,109
169,191,27
163,183,86
134,190,151
141,171,88
156,173,61
157,179,86
178,189,105
175,215,82
158,184,64
174,195,91
176,187,36
150,161,62
185,222,11
207,226,30
167,205,128
147,217,92
135,196,63
136,142,81
135,169,94
176,213,110
133,149,47
152,227,58
172,188,24
160,211,84
155,223,31
152,211,42
133,153,64
182,220,54
141,167,33
168,193,111
158,192,87
148,174,41
170,219,27
141,211,17
141,162,31
188,214,55
133,192,52
179,222,45
147,163,63
188,215,65
135,192,55
173,230,71
165,224,32
168,183,33
180,219,67
154,230,86
188,190,102
174,220,37
161,171,87
164,197,114
172,214,52
151,230,65
138,223,42
135,191,58
133,206,43
158,222,101
148,209,90
196,208,119
158,197,77
203,212,47
166,169,67
154,174,50
200,214,60
211,226,47
189,208,48
178,214,56
160,193,82
164,208,62
141,200,79
132,193,46
204,227,72
195,228,51
194,229,33
191,227,75
199,212,92
137,146,69
171,222,53
159,162,62
147,191,41
139,147,19
175,209,46
160,170,66
201,228,22
160,186,103
188,230,96
132,192,31
163,217,68
179,211,65
180,188,71
152,175,37
138,162,122
207,220,29
158,223,40
179,188,76
195,216,30
155,217,94
171,182,57
153,197,69
136,159,91
138,229,81
160,168,26
200,223,61
137,176,71
155,198,122
158,216,38
142,183,104
140,221,77
176,229,45
159,195,29
133,150,22
145,208,50
203,230,111
183,224,99
167,170,92
134,161,68
152,159,13
143,216,29
131,200,136
145,224,77
146,174,47
221,225,106
132,199,93
156,229,99
171,215,116
175,195,51
132,191,75
215,230,70
153,202,11
202,210,117
195,197,82
225,227,32
167,193,83
158,229,81
162,227,6
172,198,86
160,191,29
158,188,47
138,209,25
138,222,124
172,182,82
216,225,58
146,156,40
178,227,93
199,216,69
132,164,133
132,145,89
173,219,34
149,229,7
137,208,36
152,230,85
169,206,105
187,205,83
194,210,28
168,176,37
159,199,58
133,201,67
160,188,51
168,222,122
214,227,38
140,178,85
205,215,96
179,203,115
133,171,47
134,179,98
139,145,80
172,180,53
181,189,132
144,193,88
182,195,95
141,203,44
198,204,74
192,228,30
140,170,75
137,221,98
133,200,65
146,183,57
211,218,19
171,208,64
181,195,134
154,179,66
162,210,149
188,211,36
183,192,82
140,154,39
140,162,34
145,181,142
201,213,36
193,228,22
149,195,119
181,223,59
137,187,47
141,156,68
170,174,42
206,227,57
158,215,112
189,214,43
183,210,77
153,224,49
143,162,89
135,213,66
166,219,8
189,209,107
146,209,94
161,206,73
134,137,29
160,197,49
205,210,61
141,199,81
142,156,27
148,179,30
170,222,42
134,141,38
150,196,133
163,197,68
160,172,38
200,209,131
135,155,65
159,175,44
152,193,88
186,226,74
173,218,49
142,167,119
166,228,65
221,227,120
133,221,11
134,200,109
150,199,34
135,215,33
161,200,102
138,220,71
215,221,120
172,199,55
194,219,23
193,224,44
142,227,78
173,224,70
164,182,123
163,192,42
155,213,132
167,184,46
167,171,129
147,177,43
177,229,59
170,185,49
185,228,28
162,199,114
136,172,49
169,179,96
161,201,100
159,189,45
195,198,95
146,199,83
190,227,138
156,161,119
162,219,93
145,199,110
171,199,100
145,165,62
164,209,104
157,209,54
201,216,45
164,222,84
161,222,114
158,228,74
219,224,96
141,179,60
146,178,70
163,214,12
133,195,67
161,207,49
182,216,71
171,198,61
139,203,101
145,170,81
134,150,118
145,209,114
147,218,62
154,201,61
195,217,29
140,189,22
131,208,75
178,226,101
135,160,73
138,221,63
180,217,75
180,195,61
159,228,78
135,163,23
142,221,106
143,166,26
148,194,49
173,202,55
155,228,86
172,185,84
142,153,42
135,147,61
159,183,42
141,192,75
133,202,74
156,198,22
162,216,58
160,210,63
166,213,95
151,195,68
169,225,133
165,216,51
152,222,104
170,200,21
162,197,126
152,165,102
145,216,37
144,159,39
174,206,53
134,224,93
171,212,81
212,218,24
172,223,46
164,175,79
155,225,99
188,193,84
217,220,95
161,193,82
184,226,20
197,224,99
132,149,40
231,232,180
232,233,188
233,234,163
234,235,197
235,236,266
236,237,147
237,238,291
238,239,324
239,240,317
240,241,75
241,242,179
242,243,197
243,244,324
244,245,315
245,246,289
246,247,150
247,248,153
248,249,330
249,250,213
250,251,144
251,252,176
252,253,54
253,254,191
254,255,184
255,256,34
256,257,168
257,258,147
258,259,56
259,260,101
260,261,278
261,262,312
262,263,283
263,264,253
264,265,324
265,266,292
266,267,86
267,268,273
268,269,229
269,270,446
270,271,318
271,272,249
272,273,126
273,274,122
274,275,44
275,276,86
276,277,313
277,278,43
278,279,45
279,280,318
280,281,166
281,282,60
282,283,137
283,284,212
284,285,87
285,286,140
286,287,165
287,288,160
288,289,319
289,290,158
290,291,98
291,292,472
292,293,151
293,294,61
294,295,419
295,296,334
296,297,310
297,298,343
298,299,274
299,300,247
300,301,231
301,302,101
302,303,172
303,304,101
304,305,188
305,306,55
306,307,138
307,308,224
308,309,225
309,310,111
310,311,123
311,312,163
312,313,219
313,314,125
314,315,327
315,316,57
316,317,46
317,318,108
318,319,134
319,320,126
320,321,272
321,322,290
322,323,97
323,324,114
324,325,101
325,326,203
326,327,25
327,328,203
328,329,237
329,330,365
330,331,198
331,332,221
332,333,35
333,334,322
334,335,283
335,336,230
336,337,128
337,338,213
338,339,172
339,340,294
340,341,246
341,342,85
342,343,23
343,344,54
344,345,158
345,346,313
346,347,203
347,348,558
348,349,380
349,350,334
350,351,182
351,352,121
352,353,325
353,354,244
354,355,11
355,356,376
356,357,149
357,358,317
358,359,39
359,360,253
360,361,198
361,362,189
362,363,74
363,364,226
364,365,8
365,366,120
366,367,172
367,368,266
368,369,242
369,370,115
370,371,126
371,372,338
372,373,169
373,374,155
374,375,21
375,376,229
376,377,125
377,378,109
378,379,179
379,380,263
380,381,179
381,382,183
382,383,212
383,384,175
384,385,285
385,386,321
386,387,65
387,388,286
388,389,255
389,390,101
390,391,40
391,392,57
392,393,391
393,394,209
394,395,293
395,396,251
396,397,70
397,398,82
398,399,192
399,400,273
400,401,310
401,402,122
402,403,144
403,404,118
404,405,56
405,406,130
406,407,224
407,408,166
408,409,271
409,410,401
410,411,270
411,412,141
412,413,163
413,414,230
414,415,204
415,416,100
416,417,252
417,418,203
418,419,260
419,420,237
420,421,169
421,422,57
422,423,147
423,424,175
424,425,196
425,426,226
426,427,248
427,428,127
428,429,386
429,430,296
430,431,326
431,432,248
432,433,172
433,434,339
434,435,194
435,436,274
436,437,330
437,438,155
438,439,176
439,440,285
440,441,156
441,442,148
442,443,184
443,444,171
444,445,271
445,446,196
446,447,208
447,448,212
448,449,177
449,450,446
450,451,337
451,452,59
452,453,401
453,454,216
454,455,85
455,456,182
456,457,94
457,458,350
458,459,320
459,460,338
460,461,136
461,462,19
462,463,118
463,464,167
464,465,76
465,466,141
466,467,269
467,468,177
468,469,172
469,470,363
470,471,170
471,472,293
472,473,109
473,474,123
474,475,310
475,476,327
476,477,197
477,478,248
478,479,50
479,480,302
480,481,213
481,482,206
482,483,360
483,484,45
484,485,187
485,486,309
486,487,226
487,488,151
488,489,217
489,490,419
490,491,281
491,492,180
492,493,148
493,494,49
494,495,180
495,496,127
496,497,54
497,498,202
498,499,90
499,500,201
500,501,362
501,502,197
502,503,247
503,504,275
504,505,373
505,506,249
506,507,100
507,508,98
508,509,161
509,510,239
510,511,157
511,512,51
512,513,119
513,514,297
514,515,147
515,516,261
516,517,121
517,518,193
518,519,229
519,520,236
520,521,87
521,522,391
522,523,38
523,524,347
524,525,415
525,526,215
526,527,468
527,528,312
528,529,157
529,530,256
530,531,103
531,532,155
532,533,135
533,534,104
534,535,86
535,536,248
536,537,87
537,538,111
538,539,265
539,540,348
540,541,50
541,542,186
542,543,374
543,544,253
544,545,392
545,546,233
546,547,163
547,548,253
548,549,233
549,550,98
550,551,165
551,552,360
552,553,272
553,554,211
554,555,235
555,556,148
556,557,433
557,558,84
558,559,159
559,560,27
560,561,174
561,562,129
562,563,394
563,564,293
564,565,110
565,566,165
566,567,230
567,568,266
568,569,267
569,570,86
570,571,230
571,572,265
572,573,346
573,574,313
574,575,279
575,576,176
576,577,36
577,578,237
578,579,362
579,580,72
580,581,249
581,582,32
582,583,76
583,584,28
584,585,250
585,586,267
586,587,251
587,588,320
588,589,486
589,590,279
590,591,141
591,592,188
592,593,69
593,594,132
594,595,211
595,596,246
596,597,166
597,598,152
598,599,212
599,600,147
600,601,214
601,602,420
602,603,279
603,604,210
604,605,466
605,606,234
606,607,133
607,608,187
608,609,226
609,610,247
610,611,160
611,612,112
612,613,221
613,614,119
614,615,195
615,616,397
616,617,69
617,618,405
618,619,208
619,620,106
620,621,79
621,622,268
622,623,383
623,624,423
624,625,246
625,626,210
626,627,283
627,628,211
628,629,291
629,630,291
630,631,144
631,632,139
632,633,316
633,634,115
634,635,212
635,636,347
636,637,295
637,638,480
638,639,326
639,640,365
640,641,231
641,642,154
642,643,166
643,644,203
644,645,247
645,646,319
646,647,236
647,648,239
648,649,185
649,650,82
650,651,39
651,652,214
652,653,295
653,654,395
654,655,186
655,656,128
656,657,143
657,658,189
658,659,189
659,660,175
660,661,238
661,662,106
662,663,230
663,664,43
664,665,43
665,666,173
666,667,131
667,668,90
668,669,356
669,670,149
670,671,180
671,672,132
672,673,383
673,674,281
674,675,147
675,676,124
676,677,234
677,678,378
678,679,85
679,680,181
680,681,246
681,682,125
682,683,343
683,684,227
684,685,272
685,686,353
686,687,75
687,688,198
688,689,271
689,690,76
690,691,171
691,692,253
692,693,29
693,694,192
694,695,398
695,696,358
696,697,281
697,698,44
698,699,129
699,700,70
700,701,314
701,702,261
702,703,261
703,704,292
704,705,372
705,706,279
706,707,304
707,708,342
708,709,87
709,710,358
710,711,42
711,712,437
712,713,82
713,714,133
714,715,234
715,716,452
716,717,369
717,718,196
718,719,209
719,720,128
720,721,89
721,722,97
722,723,26
723,724,316
724,725,394
725,726,368
726,727,163
727,728,248
728,729,281
729,730,276
730,731,90
731,732,157
732,733,216
733,734,125
734,735,324
735,736,422
736,737,274
737,738,275
738,739,332
739,740,120
740,741,138
741,742,127
742,743,171
743,744,198
744,745,281
745,746,93
746,747,191
747,748,135
748,749,392
749,750,38
750,751,236
751,752,116
752,753,152
753,754,109
754,755,266
755,756,237
756,757,180
757,758,174
758,759,83
759,760,61
760,761,270
761,762,138
762,763,107
763,764,124
764,765,106
765,766,200
766,767,153
767,768,79
768,769,145
769,770,254
770,771,280
771,772,110
772,773,135
773,774,293
774,775,228
775,776,263
776,777,6
777,778,105
778,779,207
779,780,172
780,781,178
781,782,151
782,783,201
783,784,191
784,785,166
785,786,320
786,787,202
787,788,135
788,789,216
789,790,48
790,791,250
791,792,236
792,793,185
793,794,328
794,795,299
795,796,223
796,797,164
797,798,83
798,799,124
799,800,146
800,801,152
801,802,259
802,803,195
803,804,377
804,805,349
805,806,313
806,807,33
807,808,334
808,809,69
809,810,296
810,811,357
811,812,205
812,813,358
813,814,196
814,815,317
815,816,244
816,817,147
817,818,269
818,819,126
819,820,375
820,821,173
821,822,104
822,823,312
823,824,379
824,825,222
825,826,160
826,827,241
827,828,224
828,829,158
829,830,151
830,831,50
831,832,188
832,833,296
833,834,147
834,835,315
835,836,223
836,837,68
837,838,212
838,839,54
839,840,246
840,841,217
841,842,112
842,843,283
843,844,430
844,845,22
845,846,219
846,847,95
847,848,140
848,849,291
849,850,318
850,851,244
851,852,132
852,853,146
853,854,156
854,855,234
855,856,259
856,857,381
857,858,307
858,859,39
859,860,167
860,861,216
861,862,63
862,863,195
863,864,220
864,865,148
865,866,115
866,867,42
867,868,85
868,869,233
869,870,254
870,871,185
871,872,300
872,873,346
873,874,297
874,875,390
875,876,102
876,877,174
877,878,263
878,879,251
879,880,295
880,881,90
881,882,23
882,883,269
883,884,292
884,885,139
885,886,205
886,887,427
887,888,163
888,889,346
889,890,334
890,891,272
891,892,400
892,893,347
893,894,71
894,895,161
895,896,257
896,897,431
897,898,410
898,899,169
899,900,99
900,901,146
901,902,204
902,903,217
903,904,214
904,905,231
905,906,24
906,907,352
907,908,158
908,909,323
909,910,265
910,911,167
911,912,46
912,913,63
913,914,164
914,915,205
915,916,348
916,917,138
917,918,214
918,919,283
919,920,181
920,921,245
921,922,105
922,923,123
923,924,376
924,925,157
925,926,249
926,927,205
927,928,128
928,929,259
929,930,85
930,931,211
931,932,308
932,933,115
933,934,183
934,935,61
935,936,144
936,937,121
937,938,69
938,939,52
939,940,159
940,941,444
941,942,360
942,943,226
943,944,158
944,945,26
945,946,126
946,947,338
947,948,230
948,949,95
949,950,319
950,951,297
951,952,225
952,953,432
953,954,97
954,955,258
955,956,216
956,957,23
957,958,225
958,959,141
959,960,147
960,961,142
961,962,214
962,963,30
963,964,150
964,965,191
965,966,216
966,967,224
967,968,309
968,969,302
969,970,437
970,971,228
971,972,168
972,973,138
973,974,112
974,975,80
975,976,221
976,977,313
977,978,60
978,979,143
979,980,252
980,981,77
981,982,175
982,983,186
983,984,450
984,985,324
985,986,315
986,987,183
987,988,382
988,989,339
989,990,205
990,991,276
991,992,362
992,993,313
993,994,223
994,995,269
995,996,345
996,997,86
997,998,71
998,999,186
999,1000,149
1000,1001,37
1001,1002,123
1002,1003,146
1003,1004,278
1004,1005,240
1005,1006,256
1006,1007,397
1007,1008,271
1008,1009,189
1009,1010,192
1010,1011,231
1011,1012,218
1012,1013,107
1013,1014,212
1014,1015,76
1015,1016,198
1016,1017,344
1017,1018,185
1018,1019,250
1019,1020,104
1020,1021,223
1021,1022,121
1022,1023,240
1023,1024,314
1024,1025,260
1025,1026,177
1026,1027,146
1027,1028,106
1028,1029,260
1029,1030,239
1030,1031,101
1031,1032,217
1032,1033,87
1033,1034,172
1034,1035,154
1035,1036,67
1036,1037,90
1037,1038,110
1038,1039,240
1039,1040,103
1040,1041,142
1041,1042,338
1042,1043,232
1043,1044,243
1044,1045,138
1045,1046,259
1046,1047,48
1047,1048,263
1048,1049,197
1049,1050,91
1050,1051,99
1051,1052,136
1052,1053,148
1053,1054,272
1054,1055,219
1055,1056,156
1056,1057,166
1057,1058,140
1058,1059,141
1059,1060,149
1060,1061,153
1061,1062,134
1062,1063,279
1063,1064,307
1064,1065,319
1065,1066,397
1066,1067,260
1067,1068,86
1068,1069,495
1069,1070,427
1070,1071,212
1071,1072,262
1072,1073,258
1073,1074,210
1074,1075,309
1075,1076,248
1076,1077,208
1077,1078,32
1078,1079,273
1079,1080,193
1080,1081,215
1081,1082,250
1082,1083,111
1083,1084,317
1084,1085,82
1085,1086,112
1086,1087,308
1087,1088,221
1088,1089,178
1089,1090,169
1090,1091,137
1091,1092,132
1092,1093,147
1093,1094,142
1094,1095,297
1095,1096,217
1096,1097,17
1097,1098,178
1098,1099,323
1099,1100,268
1100,1101,172
1101,1102,51
1102,1103,108
1103,1104,366
1104,1105,355
1105,1106,225
1106,1107,155
1107,1108,348
1108,1109,337
1109,1110,116
1110,1111,293
1111,1112,288
1112,1113,254
1113,1114,55
1114,1115,290
1115,1116,245
1116,1117,52
1117,1118,167
1118,1119,41
1119,1120,311
1120,1121,214
1121,1122,206
1122,1123,265
1123,1124,165
1124,1125,195
1125,1126,321
1126,1127,352
1127,1128,277
1128,1129,63
1129,1130,143
1130,1131,318
1131,1132,167
1132,1133,128
1133,1134,254
1134,1135,201
1135,1136,235
1136,1137,38
1137,1138,171
1138,1139,24
1139,1140,158
1140,1141,185
1141,1142,146
1142,1143,303
1143,1144,138
1144,1145,255
1145,1146,103
1146,1147,77
1147,1148,206
1148,1149,331
1149,1150,121
1150,1151,311
1151,1152,370
1152,1153,30
1153,1154,48
1154,1155,32
1155,1156,244
1156,1157,164
1157,1158,276
1158,1159,211
1159,1160,263
1160,1161,107
1161,1162,64
1162,1163,148
1163,1164,174
1164,1165,169
1165,1166,170
1166,1167,84
1167,1168,230
1168,1169,167
1169,1170,287
1170,1171,349
1171,1172,354
1172,1173,101
1173,1174,33
1174,1175,307
1175,1176,245
1176,1177,127
1177,1178,252
1178,1179,127
1179,1180,170
1180,1181,181
1181,1182,92
1182,1183,234
1183,1184,203
1184,1185,384
1185,1186,416
1186,1187,417
1187,1188,121
1188,1189,300
1189,1190,132
1190,1191,199
1191,1192,70
1192,1193,197
1193,1194,199
1194,1195,300
1195,1196,104
1196,1197,193
1197,1198,258
1198,1199,59
1199,1200,93
1200,1201,182
1201,1202,204
1202,1203,78
1203,1204,327
1204,1205,346
1205,1206,435
1206,1207,217
1207,1208,174
1208,1209,204
1209,1210,54
1210,1211,278
1211,1212,126
1212,1213,314
1213,1214,352
1214,1215,133
1215,1216,52
1216,1217,224
1217,1218,15
1218,1219,332
1219,1220,41
1220,1221,301
1221,1222,84
1222,1223,220
1223,1224,207
1224,1225,291
1225,1226,304
1226,1227,443
1227,1228,220
1228,1229,181
1229,1230,302
231,1230,242
535,957,329
321,845,515
509,841,412
632,952,419
344,932,117
334,363,395
231,287,337
664,746,141
432,830,109
451,708,82
610,993,270
